Site,Meter,Channel,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,01-Jan-18,15,17,14,16,16,14,16,17,15,14,15,15,17,14,16,20,17,17,19,19,19,19,20,17,17,19,18,18,18,17,19,19,19,20,20,21,19,18,22,19,21,18,16,17,17,15,16,15
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,02-Jan-18,17,17,15,16,16,17,16,16,15,15,17,16,16,15,16,19,16,21,19,18,20,20,20,19,20,18,22,18,21,22,16,18,21,19,21,21,21,26,18,17,20,18,16,14,15,16,15,16
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,03-Jan-18,16,16,16,15,15,18,17,15,17,16,13,19,17,18,18,21,22,23,20,24,25,24,25,26,28,26,24,28,21,31,21,22,23,25,24,21,20,21,20,20,19,19,15,16,16,15,14,16
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,04-Jan-18,16,15,14,16,12,14,14,15,14,14,13,15,15,15,16,21,18,20,23,24,22,22,26,22,22,25,23,26,25,25,23,24,25,25,24,23,23,21,22,21,23,21,16,16,17,17,17,17
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,05-Jan-18,17,18,16,18,17,16,17,17,18,14,18,16,18,14,16,20,20,22,24,23,25,25,24,25,26,26,27,25,27,25,26,25,26,24,25,23,22,21,22,25,21,20,16,17,17,16,17,19
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,06-Jan-18,18,18,17,18,17,19,17,18,17,18,18,17,18,17,19,19,21,21,18,20,21,19,20,22,16,23,21,20,17,16,16,17,16,18,18,17,16,19,16,17,18,18,15,19,14,18,17,16
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,07-Jan-18,18,19,18,17,17,17,17,17,18,17,18,17,16,19,17,17,17,15,16,16,18,18,17,16,18,16,17,16,21,13,14,18,16,17,18,17,19,18,17,16,19,17,17,17,18,17,17,18
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,08-Jan-18,17,18,16,19,18,16,20,15,16,19,16,17,18,18,18,20,19,22,24,27,28,26,26,27,26,29,27,26,27,25,26,26,26,23,26,20,23,21,22,19,22,24,13,17,17,15,18,15
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,09-Jan-18,19,18,18,16,19,17,16,18,16,17,18,17,17,17,15,23,20,23,22,26,24,25,28,23,25,25,26,25,28,24,27,25,24,26,20,22,25,16,19,20,19,19,15,14,15,15,14,15
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,10-Jan-18,15,15,14,16,15,12,15,15,14,15,17,17,17,17,17,17,17,17,17,22,22,21,23,20,22,21,22,22,22,23,21,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,11-Jan-18,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,12-Jan-18,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,17.941,24,25,26,26,26,26,26,25,25,25,24,24,23,24,23,23,21,21,22,20,22,21,16,17,16,16,16,16
JC Nottingham Geospatial,NGB Main Incomer E7350B10,Energy,13-Jan-18,17,17,16,16,17,17,17,15,17,16,16,16,17,17,19,20,19,18,20,20,20,18,19,20,19,19,20,20,14,15,16,16,14,16,15,16,15,16,15,16,15,15,16,15,16,16,15,16
